"","ContractID","ConractSize","Currency","Expiration","Strike","Last","Chg","ChgPct","Bid","Ask","Vol","OI","LastTradeTime","IV","ITM","moneyness","logmoneyness","TimeToExp"
"1","SPY231206C00400000","REGULAR","USD",2023-12-06,400,56.05,-0.69000244,-1.2160776,55.93,56.38,30,111,2023-12-06 13:01:59,1.15234798828125,TRUE,1.1401,0.131115977857537,0
"2","SPY231206C00414000","REGULAR","USD",2023-12-06,414,41.04,0,0,41.81,42.55,2,2,2023-12-05 09:43:13,0.90820404296875,TRUE,1.10154589371981,0.0967145511402047,0
"3","SPY231206C00417000","REGULAR","USD",2023-12-06,417,42.36,0,0,38.69,39.39,1,6,2023-12-01 16:06:07,0.648441015625,TRUE,1.09362110311751,0.0894943031667176,0
"4","SPY231206C00418000","REGULAR","USD",2023-12-06,418,38.99,0.83000183,2.1750572,37.88,38.61,2,7,2023-12-06 09:52:09,0.877930908203125,TRUE,1.091004784689,0.0870990924407627,0
"5","SPY231206C00420000","REGULAR","USD",2023-12-06,420,36.2,-0.25,-0.68587106,35.99,36.49,1,19,2023-12-06 11:43:30,0.83398603515625,TRUE,1.08580952380952,0.082325813688105,0
"6","SPY231206C00421000","REGULAR","USD",2023-12-06,421,34.81,0,0,34.99,35.48,2,2,2023-12-05 12:51:38,0.81054876953125,TRUE,1.08323040380048,0.0799476912831377,0
"7","SPY231206C00422000","REGULAR","USD",2023-12-06,422,35,0.27000046,0.7774272,34,34.38,1,3,2023-12-05 15:28:09,0.75976802734375,TRUE,1.080663507109,0.0775752109295072,0
"8","SPY231206C00423000","REGULAR","USD",2023-12-06,423,34.44,0.7099991,2.1049483,33,33.51,2,27,2023-12-05 15:23:53,0.782228740234375,TRUE,1.07810874704492,0.0752083459192411,0
"9","SPY231206C00424000","REGULAR","USD",2023-12-06,424,33.43,1.0800018,3.3384912,31.98,32.5,2,9,2023-12-05 13:30:41,0.752932158203125,TRUE,1.07556603773585,0.0728470697335613,0
"10","SPY231206C00425000","REGULAR","USD",2023-12-06,425,32.36,1.0600014,3.386586,30.8,31.4,3,3,2023-12-06 09:54:40,0.62500375,TRUE,1.07303529411765,0.0704913560411022,0
"11","SPY231206C00426000","REGULAR","USD",2023-12-06,426,30.79,0.58000183,1.9199003,29.98,30.53,6,8,2023-12-06 11:24:15,0.72070591796875,TRUE,1.07051643192488,0.0681411786961487,0
"12","SPY231206C00427000","REGULAR","USD",2023-12-06,427,30.48,1.7700005,6.165101,28.87,29.36,3,31,2023-12-06 09:34:38,0.60351958984375,TRUE,1.0680093676815,0.0657965117368944,0
"13","SPY231206C00428000","REGULAR","USD",2023-12-06,428,29.23,0.6499996,2.2743163,28.01,28.47,2,2,2023-12-06 10:23:53,0.67187828125,TRUE,1.06551401869159,0.0634573293837222,0
"14","SPY231206C00429000","REGULAR","USD",2023-12-06,429,28.4,1.1800003,4.335049,26.99,27.52,4,6,2023-12-05 13:58:17,0.659183095703125,TRUE,1.0630303030303,0.061123606037502,0
"15","SPY231206C00430000","REGULAR","USD",2023-12-06,430,26.35,-0.27000046,-1.0142767,25.92,26.58,59,34,2023-12-06 14:18:13,0.635745830078125,TRUE,1.06055813953488,0.058795316277911,0
"16","SPY231206C00431000","REGULAR","USD",2023-12-06,431,25.51,0.30000114,1.1900085,24.97,25.36,16,28,2023-12-06 12:39:47,0.5664105859375,TRUE,1.05809744779582,0.0564724348617714,0
"17","SPY231206C00432000","REGULAR","USD",2023-12-06,432,25.27,0.6100006,2.473644,23.79,24.37,1,3,2023-12-05 16:07:56,0.64648791015625,TRUE,1.05564814814815,0.0541549367214087,0
"18","SPY231206C00435000","REGULAR","USD",2023-12-06,435,21.23,0.14999962,0.7115731,21,21.51,26,119,2023-12-06 14:36:38,0.534184345703125,TRUE,1.04836781609195,0.047234493876835,0
"19","SPY231206C00438000","REGULAR","USD",2023-12-06,438,18.5,0.29999924,1.6483474,17.78,18.45,10,25,2023-12-06 12:03:04,0.538090556640625,TRUE,1.04118721461187,0.0403616145890729,0
